TYPE LAT LON H FREQ A ICAO NAME
T 45.3225 -75.6692 374 120.1 50 CYOW "Ottawa Macdonald Cartier"
T 45.3225 -75.6692 374 236.6 50 CYOW "Ottawa Macdonald Cartier"
T 45.3225 -75.6692 374 341.3 50 CYOW "Ottawa Macdonald Cartier"
T 62.4628 -114.44 675 118.5 50 CYZF "Yellowknife"
T 62.4628 -114.44 675 340.8 50 CYZF "Yellowknife"
T 48.3306 -70.9964 522 126.2 50 CYBG "Bagotville"
T 48.3306 -70.9964 522 236.6 50 CYBG "Bagotville"
T 48.3306 -70.9964 522 337.7 50 CYBG "Bagotville"
T 45.5175 -73.4169 90 118.4 50 CYHU "St Hubert"
T 45.5175 -73.4169 90 352.5 50 CYHU "St Hubert"
T 43.8622 -79.37 650 119.9 50 CYKZ "Buttonville"
T 43.8622 -79.37 650 124.8 50 CYKZ "Buttonville"
T 43.0356 -81.1539 912 119.4 50 CYXU "London"
T 43.0356 -81.1539 912 236.6 50 CYXU "London"
T 53.8894 -122.679 2267 118.3 50 CYXS "Prince George"
T 53.8894 -122.679 2267 327.7 50 CYXS "Prince George"
T 49.9561 -119.378 1409 119.6 50 CYLW "Kelowna"
T 49.9561 -119.378 1409 292.2 50 CYLW "Kelowna"
T 45.4681 -73.7414 117 119.9 50 CYUL "Montreal Dorval"
T 45.4681 -73.7414 117 267.1 50 CYUL "Montreal Dorval"
T 43.9228 -78.895 459 120.1 50 CYOO "Oshawa"
T 12.1337 15.034 968 118.1 50 FTTJ "Ndjamena"
T 12.1337 15.034 968 119.7 50 FTTJ "Ndjamena"
T 7.18119 79.8838 29 118.7 50 VCBI "Bandaranaike"
T -4.38575 15.4446 1027 118.1 50 FZAA "Kinshasa Ndjili"
T 30.2283 120.432 23 118.3 50 ZSHC "Xiaoshan"
T 30.2283 120.432 23 130 50 ZSHC "Xiaoshan"
T 40.0801 116.585 116 118.1 50 ZBAA "Capital"
T 40.0801 116.585 116 118.3 50 ZBAA "Capital"
T 40.0801 116.585 116 134.7 50 ZBAA "Capital"
T 31.1979 121.336 10 118.1 50 ZSSS "Hongqiao"
T 31.1979 121.336 10 124.3 50 ZSSS "Hongqiao"
T 45.6234 126.25 456 130 50 ZYHB "Taiping"
T 45.6234 126.25 456 118.1 50 ZYHB "Taiping"
T 41.6383 123.485 197 118.1 50 ZYTX "Taoxian"
T 41.6383 123.485 197 130 50 ZYTX "Taoxian"
T 41.6383 123.485 197 124.3 50 ZYTX "Taoxian"
T 38.9657 121.539 108 118.25 50 ZYTL "Zhoushuizi"
T 38.9657 121.539 108 130 50 ZYTL "Zhoushuizi"
T 39.1241 117.346 7 118.2 50 ZBTJ "Binhai"
T 39.1241 117.346 7 130 50 ZBTJ "Binhai"
T 37.7468 112.629 2575 118.25 50 ZBYN "Wusu"
T 37.7468 112.629 2575 124.35 50 ZBYN "Wusu"
T 36.5167 103.622 6388 118.1 50 ZLLL "Zhongchuan"
T 36.5167 103.622 6388 130 50 ZLLL "Zhongchuan"
T 31.7801 117.298 95 118.75 50 ZSOF "Luogang"
T 31.7801 117.298 95 118.1 50 ZSOF "Luogang"
T 30.5785 103.947 1624 123 50 ZUUU "Shuangliu"
T 30.5785 103.947 1624 118.85 50 ZUUU "Shuangliu"
T 24.9924 102.743 6217 118.1 50 ZPPP "Wujiaba"
T 24.9924 102.743 6217 118.85 50 ZPPP "Wujiaba"
T 23.1842 113.266 37 118.1 50 ZGGG "Baiyun"
T 23.1842 113.266 37 124.3 50 ZGGG "Baiyun"
T 22.6083 108.172 420 130 50 ZGNN "Wuxu"
T 22.6395 113.812 13 118.45 50 ZGSZ "Baoan"
T 22.6395 113.812 13 130 50 ZGSZ "Baoan"
T 34.446 108.753 1572 124.3 50 ZLXY "Xianyang"
T 34.446 108.753 1572 118.15 50 ZLXY "Xianyang"
T 24.544 118.128 59 118.25 50 ZSAM "Gaoqi"
T 24.544 118.128 59 130 50 ZSAM "Gaoqi"
T -27.1648 -109.422 227 118.1 50 SCIP "Mataveri"
T -27.1648 -109.422 227 121.9 50 SCIP "Mataveri"
T -33.393 -70.7858 1554 118.1 50 SCEL "Arturo Merino Benitez"
T -33.393 -70.7858 1554 121.5 50 SCEL "Arturo Merino Benitez"
T 19.6868 -79.8829 8 118.4 50 MWCB "Gerrard Smith"
T 19.2928 -81.3577 8 118 50 MWCR "Owen Roberts"
T 12.5836 -81.7112 19 118.1 50 SKSP "Gustavo Rojas Pinilla"
T 15.1194 145.729 215 125.7 50 GSN "Saipan"
T 15.1194 145.729 215 256.9 50 GSN "Saipan"
T 10.5933 -85.5444 270 118.8 50 MRLB "Daniel Oduber Quiros"
T 9.95747 -84.142 3261 118.3 50 MRPV "Tobias Bolanos"
T 9.99386 -84.2088 3021 118.6 50 MROC "Juan Santamaria"
T 20.6542 -74.9219 16 123.4 50 MUMO "Orestes Acosta"
T 21.8347 -82.7839 79 118.3 50 MUNG "Rafael Perez"
T 22.15 -80.4142 102 118.9 50 MUCF "Jaime Gonzalez"
T 22.9892 -82.4092 210 118.1 50 MUHA "Jose Marti"
T 23.0328 -82.5794 102 128.8 50 MUPB "Playa Baracoa"
T 20.3964 -76.6214 203 123.6 50 MUBY "Carlos Manuel De Cespedes"
T 20.9878 -76.9358 328 122.5 50 MUVT "Hermanos Ameijeiras"
T 19.97 -75.8356 249 118.1 50 MUCU "Antonio Maceo"
T 21.6161 -81.5456 10 118.5 50 MUCL "Vilo Acuna"
T 19.9065 -75.2071 56 134.1 50 MUGM "Guantanamo Bay Ns"
T 19.9065 -75.2071 56 340.2 50 MUGM "Guantanamo Bay Ns"
T 22.0271 -78.7896 335 123.6 50 MUCA "Maximo Gomez"
T 21.4203 -77.8475 413 118.5 50 MUCM "Ignacio Agramonte"
T 20.3656 -74.5064 26 122.5 50 MUBA "Gustavo Rizo"
T 23.0344 -81.4353 210 118.4 50 MUVR "Juan Gualberto Gomez"
T 20.0853 -75.1583 56 122.6 50 MUGT "Mariana Grajales"
T 20.2881 -77.0892 112 118.3 50 MUMZ "Sierra Maestra"
T 22.4922 -79.9436 338 118.1 50 MUSC "Abel Santamaria"
T 20.7856 -76.315 361 118 50 MUHG "Frank Pais"
T 34.8751 33.6249 8 119.4 50 LCLK "Larnaca"
T 34.8751 33.6249 8 121.2 50 LCLK "Larnaca"
T 34.718 32.4857 41 119.9 50 LCPH "Pafos"
T 34.5904 32.9879 76 122.1 50 LCRA "Akrotiri"
T 34.5904 32.9879 76 386.8 50 LCRA "Akrotiri"
T 34.5904 32.9879 76 257.8 50 LCRA "Akrotiri"
T 55.6179 12.656 17 118.1 50 EKCH "Kastrup"
T 55.6179 12.656 17 118.575 50 EKCH "Kastrup"
T 55.6179 12.656 17 118.7 50 EKCH "Kastrup"
T 55.6179 12.656 17 119.35 50 EKCH "Kastrup"
T 55.6179 12.656 17 119.9 50 EKCH "Kastrup"
T 55.7674 12.3434 58 119.475 50 EKVL "Vaerlose"
T 55.7674 12.3434 58 121.2 50 EKVL "Vaerlose"
T 55.7674 12.3434 58 257.8 50 EKVL "Vaerlose"
T 55.7674 12.3434 58 292.6 50 EKVL "Vaerlose"
T 56.2975 9.12463 170 119.575 50 EKKA "Karup"
T 56.2975 9.12463 170 257.8 50 EKKA "Karup"
T 56.2975 9.12463 170 358.825 50 EKKA "Karup"
T 55.6971 9.19344 241 122.2 50 EKVA "Vandel"
T 55.6971 9.19344 241 257.8 50 EKVA "Vandel"
T 55.6971 9.19344 241 315.65 50 EKVA "Vandel"
T 55.5856 12.1314 146 118.9 50 EKRK "Roskilde"
T 55.5856 12.1314 146 259.05 50 EKRK "Roskilde"
T 57.0928 9.84916 10 118.3 50 EKYT "Aalborg"
T 57.0928 9.84916 10 257.8 50 EKYT "Aalborg"
T 57.0928 9.84916 10 339.975 50 EKYT "Aalborg"
T 55.0633 14.7596 52 118.325 50 EKRN "Bornholm Ronne"
T 55.0633 14.7596 52 257.8 50 EKRN "Bornholm Ronne"
T 56.3043 10.6195 82 118.525 50 EKAH "Aarhus"
T 55.7403 9.15178 247 119 50 EKBI "Billund"
T 55.7403 9.15178 247 282.15 50 EKBI "Billund"
T 55.5259 8.5534 97 120.15 50 EKEB "Esbjerg"
T 55.5259 8.5534 97 257.8 50 EKEB "Esbjerg"
T 54.9644 9.79173 24 126.4 50 EKSB "Sonderborg"
T 11.5473 43.1595 49 122.1 50 HDAM "Djibouti Ambouli"
T 15.547 -61.3 73 118.9 50 TDPD "Melville Hall"
T 15.3367 -61.3922 13 118.7 50 TDCF "Canefield"
T 18.4522 -68.9117 230 118.6 50 MDLR "La Romana"
T 19.4062 -70.605 565 118.3 50 MDST "Cibao"
T 18.4713 -69.9691 198 118.9 50 MDHE "Herrera"
T 18.5674 -68.3634 40 118.8 50 MDPC "Punta Cana"
T 19.1986 -69.4299 115 118.45 50 MDAB "Arroyo Barril"
T 18.4296 -69.6688 59 118.1 50 MDSD "Las Americas"
T 18.5037 -69.7617 111 122.7 50 MDSI "San Isidro Ab"
T 19.7574 -70.5698 16 118 50 MDPP "Gregorio Luperon"
T 18.2515 -71.1204 10 118.5 50 MDBH "Maria Montez"
T -0.141144 -78.4882 9228 118.1 50 SEQU "Mariscal Sucre"
T -2.15796 -79.884 15 118.3 50 SEGU "Simon Bolivar"
T -2.15796 -79.884 15 121.9 50 SEGU "Simon Bolivar"
T -0.906828 -78.6158 9191 122.9 50 SELT "Cotopaxi"
T 27.1841 33.7984 52 119.6 50 HEGN "Hurghada"
T 31.2794 32.24 8 118.1 50 HEPS "Port Said"
T 30.1219 31.4056 382 118.1 50 HECA "Cairo"
T 30.1219 31.4056 382 119.55 50 HECA "Cairo"
T 53.303 -6.44288 319 123.5 50 EIME "Casement"
T 52.1872 -7.08696 119 129.85 50 EIWF "Waterford"
T 52.1809 -9.52378 112 123.325 50 EIKY "Kerry"
